ticker,fiscal_quarter,earnings_date,earnings_time,timing_confidence,available_date,source
SBUX,2009Q3,2009-08-05,,sec_filing_date_proxy,2009-08-05,sec_filing_event_proxy
SBUX,2010Q1,2010-02-02,,sec_filing_date_proxy,2010-02-02,sec_filing_event_proxy
SBUX,2010Q2,2010-05-04,,sec_filing_date_proxy,2010-05-04,sec_filing_event_proxy
SBUX,2010Q3,2010-08-02,,sec_filing_date_proxy,2010-08-02,sec_filing_event_proxy
SBUX,2011Q1,2011-02-04,,sec_filing_date_proxy,2011-02-04,sec_filing_event_proxy
SBUX,2011Q2,2011-05-06,,sec_filing_date_proxy,2011-05-06,sec_filing_event_proxy
SBUX,2011Q3,2011-08-05,,sec_filing_date_proxy,2011-08-05,sec_filing_event_proxy
SBUX,2012Q1,2012-01-31,,sec_filing_date_proxy,2012-01-31,sec_filing_event_proxy
SBUX,2012Q2,2012-05-02,,sec_filing_date_proxy,2012-05-02,sec_filing_event_proxy
SBUX,2012Q3,2012-08-02,,sec_filing_date_proxy,2012-08-02,sec_filing_event_proxy
SBUX,2013Q1,2013-01-29,,sec_filing_date_proxy,2013-01-29,sec_filing_event_proxy
SBUX,2013Q2,2013-04-30,,sec_filing_date_proxy,2013-04-30,sec_filing_event_proxy
SBUX,2013Q3,2013-07-30,,sec_filing_date_proxy,2013-07-30,sec_filing_event_proxy
SBUX,2014Q1,2014-01-28,,sec_filing_date_proxy,2014-01-28,sec_filing_event_proxy
SBUX,2014Q2,2014-04-29,,sec_filing_date_proxy,2014-04-29,sec_filing_event_proxy
SBUX,2014Q3,2014-07-29,,sec_filing_date_proxy,2014-07-29,sec_filing_event_proxy
SBUX,2015Q1,2015-01-27,,sec_filing_date_proxy,2015-01-27,sec_filing_event_proxy
SBUX,2015Q2,2015-04-28,,sec_filing_date_proxy,2015-04-28,sec_filing_event_proxy
SBUX,2015Q3,2015-07-28,,sec_filing_date_proxy,2015-07-28,sec_filing_event_proxy
SBUX,2016Q1,2016-01-26,,sec_filing_date_proxy,2016-01-26,sec_filing_event_proxy
SBUX,2016Q2,2016-04-26,,sec_filing_date_proxy,2016-04-26,sec_filing_event_proxy
SBUX,2016Q3,2016-07-27,,sec_filing_date_proxy,2016-07-27,sec_filing_event_proxy
SBUX,2017Q1,2017-01-31,,sec_filing_date_proxy,2017-01-31,sec_filing_event_proxy
SBUX,2017Q2,2017-05-02,,sec_filing_date_proxy,2017-05-02,sec_filing_event_proxy
SBUX,2017Q3,2017-08-01,,sec_filing_date_proxy,2017-08-01,sec_filing_event_proxy
SBUX,2018Q1,2018-01-31,,sec_filing_date_proxy,2018-01-31,sec_filing_event_proxy
SBUX,2018Q2,2018-05-01,,sec_filing_date_proxy,2018-05-01,sec_filing_event_proxy
SBUX,2018Q3,2018-07-31,,sec_filing_date_proxy,2018-07-31,sec_filing_event_proxy
SBUX,2019Q1,2019-01-29,,sec_filing_date_proxy,2019-01-29,sec_filing_event_proxy
SBUX,2019Q2,2019-04-30,,sec_filing_date_proxy,2019-04-30,sec_filing_event_proxy
SBUX,2019Q3,2019-07-30,,sec_filing_date_proxy,2019-07-30,sec_filing_event_proxy
SBUX,2020Q1,2020-01-28,,sec_filing_date_proxy,2020-01-28,sec_filing_event_proxy
SBUX,2020Q2,2020-04-28,,sec_filing_date_proxy,2020-04-28,sec_filing_event_proxy
SBUX,2020Q3,2020-07-28,,sec_filing_date_proxy,2020-07-28,sec_filing_event_proxy
SBUX,2021Q1,2021-01-26,,sec_filing_date_proxy,2021-01-26,sec_filing_event_proxy
SBUX,2021Q2,2021-04-27,,sec_filing_date_proxy,2021-04-27,sec_filing_event_proxy
SBUX,2021Q3,2021-07-27,,sec_filing_date_proxy,2021-07-27,sec_filing_event_proxy
SBUX,2022Q1,2022-02-01,,sec_filing_date_proxy,2022-02-01,sec_filing_event_proxy
SBUX,2022Q2,2022-05-03,,sec_filing_date_proxy,2022-05-03,sec_filing_event_proxy
SBUX,2022Q3,2022-08-02,,sec_filing_date_proxy,2022-08-02,sec_filing_event_proxy
SBUX,2023Q1,2023-02-02,,sec_filing_date_proxy,2023-02-02,sec_filing_event_proxy
